Movie Number,Title,Type,Run Time,Year,Rating,Imdb
218,Higher Learning,DR,127,,,
219,The Man Who Wasn't There,DR,116,,,
220,Peggy Sue Got Married,CO,102,,,
221,The Prestige,DR,130,,,
222,The Illusionist,DR,130,,,
223,The Saint,AC,118,,,
224,Three Kings,AC,115,,,
225,The Thirteenth Floor,SF,100,,,
226,Igby Goes Down,CO,98,,,
227,Winged Migration,DO,89,,,
228,Cat Ballou,WE,96,,,
229,Time Bandits,AC,116,,,
230,Scrooged,CO,100,,,
231,The Jewel of the Nile,AC,106,,,
232,Simon Birch,CO,114,,,
233,Mulholland Dr,TH,147,,,
234,D‚j… Vu,DR,124,,,
235,Y Tu Mama Tambien,DR,100,,,
236,Finding Graceland,DR,97,,,
237,My House In Umbria,DR,103,,,
238,Bulletproof Monk,AC,104,,,
239,Midnight In The Garden Of Good And Evil,DR,155,,,
240,Night at the Museum,CO,110,,,
241,Casino Royal,AC,144,,,
242,The Good Shepherd,DR,168,,,
243,Requiem For A Dream,DR,102,,,
244,Escape From New York,AC,99,,,
245,Dark City,TH,96,,,
246,The Paper   ,CO,112,,,
247,Timecop,SF,99,,,
248,Twin Peaks Fire Walk With Me,DR,134,,,
249,Spartan,TH,107,,,
250,The Unit (Season 1),DR,564,2006,,http://www.imdb.com/title/tt0460690/ 
251,Shooter,AC,125,,,
252,Something To Talk About,CO,106,,,
253,The Truth About Cats And Dogs,CO,99,,,
254,City Hall,TH,111,,,
255,Red Planet,SF,107,,,
256,War Games,TH,113,,,
257,The Day After,AC,127,,,
258,Hook,CO,142,,,
259,Ghost Rider,CO,113,,,
260,The Dream Team,CO,113,,,
261,The Return Of The Pink Panther,CO,113,,,
262,The Celestine Prophesy,AD,100,,,
264,Cosmos,DO,,,,
264,The 4400 - Season 1,SF,256,2004,,http://www.imdb.com/title/tt0389564/ 
265,The Lord Of The Rings - The Two Towers,FA,179,,,
266,The Lord Of The Rings - The Return Of The King,FA,200,,,
267,Rising Sun,DR,129,,,
268,Christmas Vacation,CO,97,,,
269,Ferris Bueller's Day Off,CO,102,,,
270,Mary Poppins,CO,139,,,
271,Wild Hogs,CO,100,,,
272,Romancing The Stone,CO,106,,,
273,Taken - Episode 1,SF,60,2002,,http://www.imdb.com/title/tt0289830/ 
274,Taken - Volume 2,SF,185,2002,,http://www.imdb.com/title/tt0289830/ 
275,Taken - Volume 3,SF,188,2002,,http://www.imdb.com/title/tt0289830/ 
276,Taken - Volume 4,SF,182,2002,,http://www.imdb.com/title/tt0289830/ 
277,Taken - Volume 5,SF,184,2002,,http://www.imdb.com/title/tt0289830/ 
278,Tango & Cash,AC,104,,,
279,Children Of A Lesser God,DR,118,,,
280,Truman,Bio,131,,,
281,3 Days Of The Condor,TH,117,,,
282,One Night At McCool's,CO,93,,,
283,Stand By Me,DR,88,,,
284,Burglar,CO,102,,,
285,The Betsy,DR,125,,,
286,Labyrinth,FA,102,,,
287,Grand Canyon,DR,137,,,
288,High Fidelity,CO,114,,,
289,The Postman,DR,178,,,
290,ANatrix,AN,89,,,
291,The Gingerbread Man,TH,114,,,
292,Billy Jack,WE,114,,,
293,Very Bad Things,CO,100,,,
294,Eddie   ,CO,100,,,
295,My Fellow Americans,CO,101,,,
296,The Hunt For Red October,AC,135,,,
297,Fargo,DR CO,98,,,
298,Hocus Pocus,CO,96,,,
299,Wall Street,DR,126,,,
300,The Sandlot,CO,101,,,
301,Rain Man,CO,134,,,
302,The Graduate,DR CO,96,,,
303,Tea With Mussolini,DR,117,,,
304,The Goonies,CO,114,,,
305,North To Alaska,CO,122,,,
